id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,minted_market_cap,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
1,Bitcoin,BTC,bitcoin,12492,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",21000000.0,19958140.0,19958140.0,False,1790869956132.43,,1,,,,2025-12-06T05:05:00.000Z,89731.30542888411,61425730101.22889,1.7117,0.05020674,-2.58518741,-1.2332347,-13.60581783,-27.84775433,-18.92315309,1790869956132.4292,58.6996,1884357414006.57,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
1027,Ethereum,ETH,ethereum,11232,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'sophon-ecosystem']",,120695413.63348152,120695413.63348152,True,366668627412.96,,2,,,,2025-12-06T05:05:00.000Z,3037.9665338936006,26331341312.196613,6.7847,-0.09748536,-4.20818795,-0.0075479,-11.80876532,-35.50527943,-29.3794198,366668627412.9623,12.0183,366668627412.96,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
825,Tether USDt,USDT,tether,160848,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'venom-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'peaq-ecosystem', 'apertum-ecosystem', 'etherlink-ecosystem', 'duckchain-ecosystem', 'onus-ecosystem', 'sophon-ecosystem', 'zedxion-smart-chain-ecosystem', 'xlayer-ecosystem']",,185632101181.92792,187859713287.11044,True,187884394622.53,,3,,,,2025-12-06T04:50:00.000Z,1.000131381736856,95277513804.83102,3.7364,-0.00980786,-0.00820363,-0.02516921,0.02036226,-0.01543646,-0.00172364,185656489849.79742,6.0906,187884394622.53,,2025-12-06T04:50:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-12-05 23:31:35.102059
52,XRP,XRP,xrp,1764,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",100000000000.0,60331635327.0,99985752852.0,False,204135908558.69,,4,,,,2025-12-06T05:05:00.000Z,2.041649962478742,3142043438.9502606,-4.554,0.11798747,-2.09033411,-6.66848381,-13.44420045,-31.73267307,-27.68272334,123176081001.6507,4.0374,204164996247.87,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
1839,BNB,BNB,bnb,2996,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate', 'binance-ecosystem', 'binance-listing', 'etherlink-ecosystem', 'made-in-china']",137736009.06,137736009.06,137736009.06,False,121880053776.86,,5,,,,2025-12-06T05:04:00.000Z,884.8815542765602,1921931776.1593673,4.6274,-0.31148582,-2.00279174,0.13411749,-7.8580995,-28.84666768,2.14766698,121880053776.86319,3.9949,121880053776.86,,2025-12-06T05:04:00.000Z,,,,,,2025-12-05 23:31:35.102059
3408,USDC,USDC,usd-coin,35165,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'stellar-ecosystem', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'xdc-ecosystem', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'venom-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio', 'sonic-ecosystem', 'binance-ecosystem', 'binance-listing', 'hyperevm-ecosystem', 'etherlink-ecosystem', 'unichain-ecosystem', 'vector-smart-chain-ecosystem', 'sophon-ecosystem', 'monad-ecosystem', 'xlayer-ecosystem']",,78158779542.57834,78158779542.57834,False,78160908378.38,,6,60901219650.23,60902878436.32718,,2025-12-06T05:05:00.000Z,1.0000272373214643,12314330653.374868,10.0715,0.02139417,0.02206656,-0.01831393,0.02736773,0.03980745,0.01023214,78160908378.38199,2.5619,78160908378.38,,2025-12-06T05:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-12-05 23:31:35.102059
5426,Solana,SOL,solana,1057,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing']",,559895769.1953346,615485215.6373909,True,82071962643.06,,7,525236893.3,70037787408.15852,,2025-12-06T05:04:00.000Z,133.3451406433382,4294367328.472824,5.3837,-0.29023818,-3.78661544,-3.06232842,-17.66951249,-43.17142047,-34.37530074,74659380088.96191,2.4471,82071962643.06,,2025-12-06T05:04:00.000Z,,,,,,2025-12-05 23:31:35.102059
1958,TRON,TRX,tron,1264,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem', 'world-liberty-financial-portfolio', 'binance-ecosystem', 'binance-listing', 'made-in-china']",,94679207649.03308,94679236463.24419,True,27197755675.04,,8,94667886298.43,27194495202.938644,,2025-12-06T05:05:00.000Z,0.2872620934749828,653757595.7438726,5.5228,0.21123986,0.15379845,2.03297465,-0.55448078,-16.90503464,-12.57226954,27197747397.81385,0.8915,27197755675.04,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
74,Dogecoin,DOGE,dogecoin,1354,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'osmosis-ecosystem', 'ftx-bankruptcy-estate', 'animal-memes', 'made-in-america', 'binance-ecosystem', 'binance-listing']",,161583702798.5791,161583702798.5791,True,22570100961.23,,9,,,,2025-12-06T05:05:00.000Z,0.13968055299093682,1240975279.5010653,5.5486,-0.25360398,-4.91355497,-7.15885,-16.20050382,-47.66889581,-35.71173054,22570100961.228714,0.7397,22570100961.23,,2025-12-06T05:05:00.000Z,,,,,,2025-12-05 23:31:35.102059
2010,Cardano,ADA,cardano,1629,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america', 'us-strategic-crypto-reserve', 'binance-ecosystem', 'binance-listing', 'iso-20022']",45000000000.0,35902711180.54704,44994867868.16472,False,18666949927.36,,10,37997904336.0,15764130692.927195,,2025-12-06T05:03:00.000Z,0.41486842415127434,563646779.1491939,-3.853,-0.41154988,-5.63985282,-0.72916157,-23.51527781,-52.37440622,-49.81143441,14894901210.23189,0.4882,18669079086.81,,2025-12-06T05:03:00.000Z,,,,,,2025-12-05 23:31:35.102059
